statnm,addrdoro,lat,lng
구룡공원 공영주차장,서울특별시 서초구 양재동 301-6,37.47406246,127.4589647
시민의숲동측 공영주차장,서울특별시 서초구 양재동 237,37.47174227,127.038053
시민의숲동측 공영주차장,서울특별시 서초구 양재동 237,37.47174227,127.038053
성수 2가1동 공영주차장,서울특별시 성동구 성덕정길 115,37.5370292,127.0563866
성수 2가1동 공영주차장,서울특별시 성동구 성덕정길 115,37.5370292,127.0563866
하왕십리 공영주차장,서울특별시 성동구 무학봉15길 48,37.5602689,127.0278376
하왕십리 공영주차장,서울특별시 성동구 무학봉15길 48,37.5602689,127.0278376
강변 공영주차장,서울특별시 성동구 둘레길 47-5,37.5369369,127.0491411
강변 공영주차장,서울특별시 성동구 둘레길 47-5,37.5369369,127.0491411
응봉동 공영주차장,서울특별시 성동구 독서당로63길 40,37.5544151,127.03103
응봉동 공영주차장,서울특별시 성동구 독서당로63길 40,37.5544151,127.03103
해누리타운,서울특별시 양천구 목동동로81,37.5160286,126.863901
해누리타운,서울특별시 양천구 목동동로81,37.5160286,126.863901
예금보험공사,서울특별시 중구 청계천로 30,37.5684947,126.9807936
예금보험공사,서울특별시 중구 청계천로 30,37.5684947,126.9807936
양화진 공영주차장,서울특별시 마포구 토정로 2,37.54550237,126.9114135
양화진 공영주차장,서울특별시 마포구 토정로 2,37.54550237,126.9114135
롯데마트 은평점,서울특별시 은평구 통일로 1050,37.6374578,126.9175874
롯데마트 은평점,서울특별시 은평구 통일로 1050,37.6374578,126.9175874
논현초교 공영노외주차장,서울특별시 강남구 강남대로120길 33,37.5082482,127.0267657
논현초교 공영노외주차장,서울특별시 강남구 강남대로120길 33,37.5082482,127.0267657
강남치매지원센터 공영노외주차장,서울특별시 강남구 선릉로108길 27,37.5100034,127.0460518
강남치매지원센터 공영노외주차장,서울특별시 강남구 선릉로108길 27,37.5100034,127.0460518
망원동 공영주차장1,서울특별시 마포구 동교로1길 39,37.55503247,126.8977851
망원동 공영주차장1,서울특별시 마포구 동교로1길 39,37.55503247,126.8977851
망원동 공영주차장1,서울특별시 마포구 동교로1길 39,37.55503247,126.8977851
망원동 공영주차장1,서울특별시 마포구 동교로1길 39,37.55503247,126.8977851
망원동 공영주차장1,서울특별시 마포구 동교로1길 39,37.55503247,126.8977851
망원동 공영주차장1,서울특별시 마포구 동교로1길 39,37.55503247,126.8977851
압구정 428 공영주차장1,서울특별시 강남구 압구정로 161,37.52662866,127.0264263
압구정 428 공영주차장1,서울특별시 강남구 압구정로 161,37.52662866,127.0264263
압구정 428 공영주차장1,서울특별시 강남구 압구정로 161,37.52662866,127.0264263
압구정 428 공영주차장1,서울특별시 강남구 압구정로 161,37.52662866,127.0264263
압구정 428 공영주차장1,서울특별시 강남구 압구정로 161,37.52662866,127.0264263
압구정 428 공영주차장1,서울특별시 강남구 압구정로 161,37.52662866,127.0264263
압구정 428 공영주차장1,서울특별시 강남구 압구정로 161,37.52662866,127.0264263
압구정 428 공영주차장1,서울특별시 강남구 압구정로 161,37.52662866,127.0264263
